   Value:      BST:      AVL:    Splay: 
       353       353         9         1
       354       354        10         1
       355       355         8         1
       356       356        10         1
       357       357         9         1
       358       358        10         1
       359       359         7         1
       360       360        10         1
       361       361         9         1
       362       362        10         1
       363       363         8         1
       364       364        10         1
       365       365         9         1
       366       366        10         1
       367       367         6         1
       368       368        10         1
       369       369         9         1
       370       370        10         1
       371       371         8         1
       372       372        10         1
       373       373         9         1
       374       374        10         1
       375       375         7         1
       376       376        10         1
       377       377         9         1
       378       378        10         1
       379       379         8         1
       380       380        10         1
       381       381         9         1
       382       382        10         1
       383       383         3         1
       384       384        10         1
       385       385         9         1
       386       386        10         1
       387       387         8         1
       388       388        10         1
       389       389         9         1
       390       390        10         1
       391       391         7         1
       392       392        10         1
       393       393         9         1
       394       394        10         1
       395       395         8         1
       396       396        10         1
       397       397         9         1
       398       398        10         1
       399       399         6         1
       400       400        10         1
       401       401         9         1
       402       402        10         1
       403       403         8         1
       404       404        10         1
       405       405         9         1
       406       406        10         1
       407       407         7         1
       408       408        10         1
       409       409         9         1
       410       410        10         1
       411       411         8         1
       412       412        10         1
       413       413         9         1
       414       414        10         1
       415       415         5         1
       416       416        10         1
       417       417         9         1
       418       418        10         1
       419       419         8         1
       420       420        10         1
       421       421         9         1
       422       422        10         1
       423       423         7         1
       424       424        10         1
       425       425         9         1
       426       426        10         1
       427       427         8         1
       428       428        10         1
       429       429         9         1
       430       430        10         1
       431       431         6         1
       432       432        10         1
       433       433         9         1
       434       434        10         1
       435       435         8         1
       436       436        10         1
       437       437         9         1
       438       438        10         1
       439       439         7         1
       440       440        10         1
       441       441         9         1
       442       442        10         1
       443       443         8         1
       444       444        10         1
       445       445         9         1
       446       446        10         1
       447       447         4         1
       448       448        10         1
       449       449         9         1
       450       450        10         1
       451       451         8         1
       452       452        10         1
       453       453         9         1
       454       454        10         1
       455       455         7         1
       456       456        10         1
       457       457         9         1
       458       458        10         1
       459       459         8         1
       460       460        10         1
       461       461         9         1
       462       462        10         1
       463       463         6         1
       464       464        10         1
       465       465         9         1
       466       466        10         1
       467       467         8         1
       468       468        10         1
       469       469         9         1
       470       470        10         1
       471       471         7         1
       472       472        10         1
       473       473         9         1
       474       474        10         1
       475       475         8         1
       476       476        10         1
       477       477         9         1
       478       478        10         1
       479       479         5         1
       480       480        10         1
       481       481         9         1
       482       482        10         1
       483       483         8         1
       484       484        10         1
       485       485         9         1
       486       486        10         1
       487       487         7         1
       488       488        10         1
       489       489         9         1
       490       490        10         1
       491       491         8         1
       492       492        10         1
       493       493         9         1
       494       494        10         1
       495       495         6         1
       496       496        10         1
       497       497         9         1
       498       498        10         1
       499       499         8         1
       500       500        10         1
       501       501         9         1
       502       502        10         1
       503       503         7         1
       504       504        10         1
       505       505         9         1
       506       506        10         1
       507       507         8         1
       508       508        10         1
       509       509         9         1
       510       510        10         1
       511       511         1         1
       512       512        10         1
       513       513         9         1
       514       514        10         1
       515       515         8         1
       516       516        10         1
       517       517         9         1
       518       518        10         1
       519       519         7         1
       520       520        10         1
       521       521         9         1
       522       522        10         1
       523       523         8         1
       524       524        10         1
       525       525         9         1
       526       526        10         1
       527       527         6         1
       528       528        10         1
       529       529         9         1
       530       530        10         1
       531       531         8         1
       532       532        10         1
       533       533         9         1
       534       534        10         1
       535       535         7         1
       536       536        10         1
       537       537         9         1
       538       538        10         1
       539       539         8         1
       540       540        10         1
       541       541         9         1
       542       542        10         1
       543       543         5         1
       544       544        10         1
       545       545         9         1
       546       546        10         1
       547       547         8         1
       548       548        10         1
       549       549         9         1
       550       550        10         1
       551       551         7         1
       552       552        10         1
       553       553         9         1
       554       554        10         1
       555       555         8         1
       556       556        10         1
       557       557         9         1
       558       558        10         1
       559       559         6         1
       560       560        10         1
       561       561         9         1
       562       562        10         1
       563       563         8         1
       564       564        10         1
       565       565         9         1
       566       566        10         1
       567       567         7         1
       568       568        10         1
       569       569         9         1
       570       570        10         1
       571       571         8         1
       572       572        10         1
       573       573         9         1
       574       574        10         1
       575       575         4         1
       576       576        10         1
       577       577         9         1
       578       578        10         1
       579       579         8         1
       580       580        10         1
       581       581         9         1
       582       582        10         1
       583       583         7         1
       584       584        10         1
       585       585         9         1
       586       586        10         1
       587       587         8         1
       588       588        10         1
       589       589         9         1
       590       590        10         1
       591       591         6         1
       592       592        10         1
       593       593         9         1
       594       594        10         1
       595       595         8         1
       596       596        10         1
       597       597         9         1
       598       598        10         1
       599       599         7         1
       600       600        10         1
       601       601         9         1
       602       602        10         1
       603       603         8         1
       604       604        10         1
       605       605         9         1
       606       606        10         1
       607       607         5         1
       608       608        10         1
       609       609         9         1
       610       610        10         1
       611       611         8         1
       612       612        10         1
       613       613         9         1
       614       614        10         1
       615       615         7         1
       616       616        10         1
       617       617         9         1
       618       618        10         1
       619       619         8         1
       620       620        10         1
       621       621         9         1
       622       622        10         1
       623       623         6         1
       624       624        10         1
       625       625         9         1
       626       626        10         1
       627       627         8         1
       628       628        10         1
       629       629         9         1
       630       630        10         1
       631       631         7         1
       632       632        10         1
       633       633         9         1
       634       634        10         1
       635       635         8         1
       636       636        10         1
       637       637         9         1
       638       638        10         1
       639       639         3         1
       640       640        10         1
       641       641         9         1
       642       642        10         1
       643       643         8         1
       644       644        10         1
       645       645         9         1
       646       646        10         1
       647       647         7         1
       648       648        10         1
       649       649         9         1
       650       650        10         1
       651       651         8         1
       652       652        10         1
       653       653         9         1
       654       654        10         1
       655       655         6         1
       656       656        10         1
       657       657         9         1
       658       658        10         1
       659       659         8         1
       660       660        10         1
       661       661         9         1
       662       662        10         1
       663       663         7         1
       664       664        10         1
       665       665         9         1
       666       666        10         1
       667       667         8         1
       668       668        10         1
       669       669         9         1
       670       670        10         1
       671       671         5         1
       672       672        10         1
       673       673         9         1
       674       674        10         1
       675       675         8         1
       676       676        10         1
       677       677         9         1
       678       678        10         1
       679       679         7         1
       680       680        10         1
       681       681         9         1
       682       682        10         1
       683       683         8         1
       684       684        10         1
       685       685         9         1
       686       686        10         1
       687       687         6         1
       688       688        10         1
       689       689         9         1
       690       690        10         1
       691       691         8         1
       692       692        10         1
       693       693         9         1
       694       694        10         1
       695       695         7         1
       696       696        10         1
       697       697         9         1
       698       698        10         1
       699       699         8         1
       700       700        10         1
       701       701         9         1
       702       702        10         1
       703       703         4         1
       704       704        10         1
       705       705         9         1
       706       706        10         1
       707       707         8         1
       708       708        10         1
       709       709         9         1
       710       710        10         1
       711       711         7         1
       712       712        10         1
       713       713         9         1
