   Value:      BST:      AVL:    Splay: 
      1441      1441         9         1
      1442      1442        10         1
      1443      1443         8         1
      1444      1444        10         1
      1445      1445         9         1
      1446      1446        10         1
      1447      1447         7         1
      1448      1448        10         1
      1449      1449         9         1
      1450      1450        10         1
      1451      1451         8         1
      1452      1452        10         1
      1453      1453         9         1
      1454      1454        10         1
      1455      1455         6         1
      1456      1456        10         1
      1457      1457         9         1
      1458      1458        10         1
      1459      1459         8         1
      1460      1460        10         1
      1461      1461         9         1
      1462      1462        10         1
      1463      1463         7         1
      1464      1464        10         1
      1465      1465         9         1
      1466      1466        10         1
      1467      1467         8         1
      1468      1468        10         1
      1469      1469         9         1
      1470      1470        10         1
      1471      1471         4         1
      1472      1472        10         1
      1473      1473         9         1
      1474      1474        10         1
      1475      1475         8         1
      1476      1476        10         1
      1477      1477         9         1
      1478      1478        10         1
      1479      1479         7         1
      1480      1480        10         1
      1481      1481         9         1
      1482      1482        10         1
      1483      1483         8         1
      1484      1484        10         1
      1485      1485         9         1
      1486      1486        10         1
      1487      1487         6         1
      1488      1488        10         1
      1489      1489         9         1
      1490      1490        10         1
      1491      1491         8         1
      1492      1492        10         1
      1493      1493         9         1
      1494      1494        10         1
      1495      1495         7         1
      1496      1496        10         1
      1497      1497         9         1
      1498      1498        10         1
      1499      1499         8         1
      1500      1500        10         1
      1501      1501         9         1
      1502      1502        10         1
      1503      1503         5         1
      1504      1504        10         1
      1505      1505         9         1
      1506      1506        10         1
      1507      1507         8         1
      1508      1508        10         1
      1509      1509         9         1
      1510      1510        10         1
      1511      1511         7         1
      1512      1512        10         1
      1513      1513         9         1
      1514      1514        10         1
      1515      1515         8         1
      1516      1516        10         1
      1517      1517         9         1
      1518      1518        10         1
      1519      1519         6         1
      1520      1520        10         1
      1521      1521         9         1
      1522      1522        10         1
      1523      1523         8         1
      1524      1524        10         1
      1525      1525         9         1
      1526      1526        10         1
      1527      1527         7         1
      1528      1528        10         1
      1529      1529         9         1
      1530      1530        10         1
      1531      1531         8         1
      1532      1532        10         1
      1533      1533         9         1
      1534      1534        10         1
      1535      1535         3         1
      1536      1536        10         1
      1537      1537         9         1
      1538      1538        10         1
      1539      1539         8         1
      1540      1540        10         1
      1541      1541         9         1
      1542      1542        10         1
      1543      1543         7         1
      1544      1544        10         1
      1545      1545         9         1
      1546      1546        10         1
      1547      1547         8         1
      1548      1548        10         1
      1549      1549         9         1
      1550      1550        10         1
      1551      1551         6         1
      1552      1552        10         1
      1553      1553         9         1
      1554      1554        10         1
      1555      1555         8         1
      1556      1556        10         1
      1557      1557         9         1
      1558      1558        10         1
      1559      1559         7         1
      1560      1560        10         1
      1561      1561         9         1
      1562      1562        10         1
      1563      1563         8         1
      1564      1564        10         1
      1565      1565         9         1
      1566      1566        10         1
      1567      1567         5         1
      1568      1568        10         1
      1569      1569         9         1
      1570      1570        10         1
      1571      1571         8         1
      1572      1572        10         1
      1573      1573         9         1
      1574      1574        10         1
      1575      1575         7         1
      1576      1576        10         1
      1577      1577         9         1
      1578      1578        10         1
      1579      1579         8         1
      1580      1580        10         1
      1581      1581         9         1
      1582      1582        10         1
      1583      1583         6         1
      1584      1584        10         1
      1585      1585         9         1
      1586      1586        10         1
      1587      1587         8         1
      1588      1588        10         1
      1589      1589         9         1
      1590      1590        10         1
      1591      1591         7         1
      1592      1592        10         1
      1593      1593         9         1
      1594      1594        10         1
      1595      1595         8         1
      1596      1596        10         1
      1597      1597         9         1
      1598      1598        10         1
      1599      1599         4         1
      1600      1600        10         1
      1601      1601         9         1
      1602      1602        10         1
      1603      1603         8         1
      1604      1604        10         1
      1605      1605         9         1
      1606      1606        10         1
      1607      1607         7         1
      1608      1608        10         1
      1609      1609         9         1
      1610      1610        10         1
      1611      1611         8         1
      1612      1612        10         1
      1613      1613         9         1
      1614      1614        10         1
      1615      1615         6         1
      1616      1616        10         1
      1617      1617         9         1
      1618      1618        10         1
      1619      1619         8         1
      1620      1620        10         1
      1621      1621         9         1
      1622      1622        10         1
      1623      1623         7         1
      1624      1624        10         1
      1625      1625         9         1
      1626      1626        10         1
      1627      1627         8         1
      1628      1628        10         1
      1629      1629         9         1
      1630      1630        10         1
      1631      1631         5         1
      1632      1632        10         1
      1633      1633         9         1
      1634      1634        10         1
      1635      1635         8         1
      1636      1636        10         1
      1637      1637         9         1
      1638      1638        10         1
      1639      1639         7         1
      1640      1640        10         1
      1641      1641         9         1
      1642      1642        10         1
      1643      1643         8         1
      1644      1644        10         1
      1645      1645         9         1
      1646      1646        10         1
      1647      1647         6         1
      1648      1648         9         1
      1649      1649         8         1
      1650      1650         9         1
      1651      1651         7         1
      1652      1652        10         1
      1653      1653         9         1
      1654      1654        10         1
      1655      1655         8         1
      1656      1656         9         1
      1657      1657        10         1
