   Value:      BST:      AVL:    Splay: 
         1         0         6         0
         2         1         5         1
         3         2         6         1
         4         3         4         1
         5         4         6         1
         6         5         5         1
         7         6         6         1
         8         7         3         1
         9         8         6         1
        10         9         5         1
        11        10         6         1
        12        11         4         1
        13        12         6         1
        14        13         5         1
        15        14         6         1
        16        15         2         1
        17        16         6         1
        18        17         5         1
        19        18         6         1
        20        19         4         1
        21        20         6         1
        22        21         5         1
        23        22         6         1
        24        23         3         1
        25        24         6         1
        26        25         5         1
        27        26         6         1
        28        27         4         1
        29        28         6         1
        30        29         5         1
        31        30         6         1
        32        31         1         1
        33        32         6         1
        34        33         5         1
        35        34         6         1
        36        35         4         1
        37        36         6         1
        38        37         5         1
        39        38         6         1
        40        39         3         1
        41        40         6         1
        42        41         5         1
        43        42         6         1
        44        43         4         1
        45        44         6         1
        46        45         5         1
        47        46         6         1
        48        47         2         1
        49        48         6         1
        50        49         5         1
        51        50         6         1
        52        51         4         1
        53        52         6         1
        54        53         5         1
        55        54         6         1
        56        55         3         1
        57        56         6         1
        58        57         5         1
        59        58         6         1
        60        59         4         1
        61        60         6         1
        62        61         5         1
        63        62         6         1
        64        63         0         1
        65        64         5         1
        66        65         4         1
        67        66         5         1
        68        67         3         1
        69        68         5         1
        70        69         4         1
        71        70         5         1
        72        71         2         1
        73        72         5         1
        74        73         4         1
        75        74         5         1
        76        75         3         1
        77        76         5         1
        78        77         4         1
        79        78         5         1
        80        79         1         1
        81        80         5         1
        82        81         4         1
        83        82         5         1
        84        83         3         1
        85        84         5         1
        86        85         4         1
        87        86         5         1
        88        87         2         1
        89        88         6         1
        90        89         5         1
        91        90         6         1
        92        91         4         1
        93        92         6         1
        94        93         5         1
        95        94         6         1
        96        95         3         1
        97        96         5         1
        98        97         4         1
        99        98         5         1
       100        99         6         1
